,Date,Action,Ticker,Price,Shares,Score,Amount,Rank,Reason,PnL_Pct,Days
28,2023-06-29,BUY,PSKY,15.050364818817794,2911,0.25,43811.611987578595,1.0,,,
29,2023-07-26,SELL,TPL,160.984676784285,213,,,,Day 84: Score < 0,-0.07038240277113106,84.0
30,2023-07-26,BUY,APP,28.190000534057617,1216,0.24,34279.04064941406,1.0,,,
31,2023-08-01,SELL,KEY,10.677288199856635,4852,,,,Day 28: Score < 0,0.24439927617809531,28.0
32,2023-08-01,BUY,TSLA,266.260009765625,194,0.23,51654.44189453125,1.0,,,
33,2023-09-26,SELL,META,295.5951689952112,186,,,,Day 105: Score < 0,0.40075300046996243,105.0
34,2023-09-26,BUY,PODD,153.14999389648438,320,0.24,49007.998046875,1.0,,,
35,2023-11-16,SELL,PSKY,12.677422136860084,2911,,,,Day 98: Score < 0,-0.1576667881824877,98.0
36,2023-11-16,BUY,ALB,120.05045969427984,358,0.28,42978.06457055218,1.0,,,
37,2023-11-20,SELL,NVDA,49.280206345168914,1486,,,,Day 154: Score < 0,0.8020152441832789,154.0
38,2023-11-20,BUY,NCLH,14.880000114440918,3573,0.26,53166.2404088974,1.0,,,
39,2023-12-05,SELL,PODD,192.7700042724609,320,,,,Day 49: Score < 0,0.2587006983673541,49.0
40,2023-12-05,BUY,PAYC,182.33310491948035,300,0.34,54699.9314758441,1.0,,,
41,2023-12-08,SELL,TSLA,240.2700042724609,194,,,,Day 91: Score < 0,-0.09761137437064527,91.0
42,2023-12-08,BUY,ALGN,215.8600006103516,263,0.35,56771.18016052247,1.0,,,
43,2023-12-11,SELL,NCLH,18.5,3573,,,,Day 14: Score < 0,0.24327956033050713,14.0
44,2023-12-11,BUY,MTCH,31.178960408508427,1812,0.23,56496.27626021727,1.0,,,
45,2023-12-22,SELL,APP,42.380001068115234,1216,,,,Day 105: Score < 0,0.5033699987665496,105.0
46,2023-12-29,SELL,ALGN,275.1300048828125,263,,,,Day 14: Score < 0,0.27457613316442564,14.0
47,2024-01-09,SELL,ALB,129.2598822814626,358,,,,Day 35: Score < 0,0.07671293063463036,35.0
48,2024-01-11,SELL,MTCH,37.75470875061565,1812,,,,Day 21: Score < 0,0.21090338664122887,21.0
49,2024-01-16,BUY,XYZ,65.4800033569336,986,0.21,64563.28330993652,1.0,,,
50,2024-01-19,BUY,COIN,124.33999633789062,518,0.21,64408.118103027344,1.0,,,
